Assunto ,Chamada ,Data/Time 
De coração novo'Celular pode tocar a qualquer momento': paciente relata esperaThayane ficou 8 meses na fila de transplante até receber órgão de doador.Há 3 horas Saúde,'Celular pode tocar a qualquer momento': paciente relata espera,Há 3 horas Saúde
Moto GP2 pilotos morrem em acidente gravíssimo no Paraná; vídeo é forteHá 3 horas Oeste e Sudoeste Batida forte encerra precocemente 600ª corrida de Stock CarHá 3 horas,2 pilotos morrem em acidente gravíssimo no Paraná; vídeo é forte,Há 3 horas Oeste e Sudoeste
A 270 metros de alturaTeleférico no Paquistão: novos relatos e mais imagens do acidenteFantástico conversou com homem que resgatou passageiros. Há 15 minutos Fantástico,Teleférico no Paquistão: novos relatos e mais imagens do acidente,Há 15 minutos Fantástico
Terras indígenas STF volta a julgar marco temporal nesta semana; entendaCorte analisa tese de que indígenas só teriam direito às terras já ocupadas em 1988. Há 10 horas Política,STF volta a julgar marco temporal nesta semana; entenda,Há 10 horas Política
São PauloPadre Júlio recebe bilhete com ameaça: 'Reinado aqui vai acabar'Coordenador da Pastoral do Povo de Rua acionou Secretaria de Segurança.Há 5 horas São Paulo,Padre Júlio recebe bilhete com ameaça: 'Reinado aqui vai acabar',Há 5 horas São Paulo
Rede estadualRegra permite desligar aluno com mais de 15 faltas em SP; MP investigaLei estabelece que Conselho Tutelar deve ser acionado nesses casos.Há 13 horas São Paulo,Regra permite desligar aluno com mais de 15 faltas em SP; MP investiga,Há 13 horas São Paulo
"Câmeras de uniformesDefensoria diz ao STF que PM do RJ apaga e manipula imagens de açõesPolícia nega edição nas imagens, mas admite que 'pode haver intercorrência durante as gravações'.Há 13 horas Rio de Janeiro",Defensoria diz ao STF que PM do RJ apaga e manipula imagens de ações,Há 13 horas Rio de Janeiro
