,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
4006,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,3.666,4
4007,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Itaberaba,BA,0.812,1
4008,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Ipiaú,BA,2.325,3
4010,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Euclides da Cunha,BA,2.526,3
4011,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Conceição do Coité,BA,1.623,2
4012,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Caetité,BA,2.53,3
4013,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Brumado,BA,1.718,2
4014,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Barreiras,BA,1.991,3
4015,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Irecê,BA,1.636,2
4016,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,1.287,2
4017,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.854,5
4018,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.612,5
4019,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Araraquara,SP,4.174,5
4020,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Assis,SP,3.029,4
4021,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,3.3,4
4022,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Pau dos Ferros,RN,2.119,3
4023,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Mossoró,RN,2.29,3
4024,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Açu,RN,1.861,2
4025,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Patu,RN,1.626,2
4026,73.0,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,Arcoverde,PE,1.039,2
4027,81.0,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Joinville,SC,3.631,4
4028,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Itajaí,SC,4.048,5
4029,95.0,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Sobral,CE,2.293,3
4030,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,3.997,5
4031,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,2.419,3
4032,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Uberaba,MG,1.838,2
4035,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,1.519,2
4036,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,1.962,3
4037,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Rio de Janeiro,RJ,2.849,3
4038,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Rio de Janeiro,RJ,3.333,4
4039,176.0,UNIVERSIDADE CASTELO BRANCO,UCB,Rio de Janeiro,RJ,2.519,3
4040,192.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES,FFCLSM,Rio de Janeiro,RJ,1.905,2
4041,206.0,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,São Paulo,SP,2.269,3
4042,278.0,FACULDADES INTEGRADAS SIMONSEN,FIS,Rio de Janeiro,RJ,1.624,2
4045,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.745,2
4046,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.62,2
4047,338.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Belo Horizonte,MG,3.433,4
