,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,3.903,4
1,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,2.727,3
2,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,2.541,3
3,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,3.117,4
4,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,0.488,1
5,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Parintins,AM,0.111,1
6,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,2.678,3
7,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,3.025,4
8,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Rio Grande,RS,2.543,3
9,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Caxias do Sul,RS,2.508,3
10,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,3.961,5
11,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Campinas,SP,2.77,3
12,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,2.687,3
13,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,2.123,3
14,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,3.327,4
15,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,3.632,4
16,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,5.0,5
17,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,São Paulo,SP,4.736,5
18,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Bauru,SP,4.044,5
19,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,3.484,4
20,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,3.341,4
21,125.0,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Araras,SP,1.082,2
22,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Sorocaba,SP,2.882,3
23,206.0,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,São Paulo,SP,2.117,3
25,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,2.633,3
26,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,1.809,2
27,265.0,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,Ourinhos,SP,2.034,3
29,275.0,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,São José dos Campos,SP,2.852,3
31,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.469,2
32,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Montes Claros,MG,2.178,3
33,370.0,FACULDADE PAULISTA DE ARTES,FPA,São Paulo,SP,2.445,3
34,374.0,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,São Paulo,SP,3.108,4
36,417.0,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,São Paulo,SP,1.802,2
37,461.0,CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO,FA-FAAP,São Paulo,SP,4.041,5
38,482.0,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Criciúma,SC,3.226,4
39,496.0,UNIVERSIDADE DE FRANCA,UNIFRAN,Franca,SP,1.588,2
40,547.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Rio de Janeiro,RJ,3.628,4
41,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,2.647,3
42,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,1.891,2
44,570.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Natal,RN,3.824,4
45,571.0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Curitiba,PR,3.331,4
46,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Vitória,ES,3.595,4
48,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Vitória,ES,3.204,4
49,575.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Belo Horizonte,MG,4.215,5
50,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,3.814,4
51,578.0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Salvador,BA,3.761,4
52,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,João Pessoa,PB,3.502,4
53,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Recife,PE,2.959,4
54,581.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Porto Alegre,RS,4.572,5
55,582.0,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Santa Maria,RS,2.871,3
56,584.0,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Goiânia,GO,3.63,4
57,584.0,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Goiânia,GO,2.396,3
58,587.0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Recife,PE,1.605,2
59,600.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,São Luís,MA,1.591,2
60,610.0,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO,UNINASSAU,Rio de Janeiro,RJ,3.08,4
61,634.0,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Pelotas,RS,2.517,3
62,665.0,UNIVERSIDADE DE TAUBATÉ,UNITAU,Taubaté,SP,2.399,3
63,665.0,UNIVERSIDADE DE TAUBATÉ,UNITAU,Taubaté,SP,4.318,5
64,671.0,UNIVERSIDADE ANHANGUERA,UNIDERP,Campo Grande,MS,1.022,2
65,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Campo Grande,MS,3.781,4
66,699.0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Porto Velho,RO,1.184,2
67,719.0,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Cáceres,MT,1.725,2
68,730.0,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Ponta Grossa,PR,3.535,4
69,746.0,UNIVERSIDADE REGIONAL DO CARIRI,URCA,Juazeiro do Norte,CE,1.999,3
70,789.0,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Boa Vista,RR,1.025,2
71,830.0,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Macapá,AP,2.041,3
72,953.0,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Santos,SP,1.768,2
73,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Belo Horizonte,MG,3.135,4
74,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Belo Horizonte,MG,3.333,4
75,1430.0,CENTRO UNIVERSITÁRIO INGÁ,UNINGÁ,Maringá,PR,2.007,3
76,1472.0,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,Indaial,SC,1.67,2
77,1491.0,CENTRO UNIVERSITÁRIO INTERNACIONAL,UNINTER,Curitiba,PR,1.797,2
78,1788.0,FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,Limeira,SP,2.336,3
79,1807.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,Fortaleza,CE,3.474,4
80,1811.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,Goiás,GO,1.577,2
81,1908.0,ESCOLA DE ENSINO SUPERIOR FABRA,FABRA,Serra,ES,1.826,2
82,3151.0,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Chapecó,SC,3.617,4
83,3294.0,CENTRO UNIVERSITÁRIO FAVENI,UNIFAVENI,Guarulhos,SP,0.239,1
85,3984.0,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Juazeiro,BA,2.988,4
86,14724.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,Palmas,PR,1.099,2
88,18492.0,Universidade Estadual do Paraná,UNESPAR,Curitiba,PR,3.704,4
89,18492.0,Universidade Estadual do Paraná,UNESPAR,Curitiba,PR,3.886,4
90,18506.0,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Santa Maria da Vitória,BA,1.752,2
91,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Cuiabá,MT,2.695,3
92,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Barra do Garças,MT,2.625,3
93,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,3.816,4
94,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,4.434,5
95,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,2.967,4
96,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,3.674,4
97,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,3.366,4
98,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,1.241,2
99,6.0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Ouro Preto,MG,3.393,4
100,7.0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,São Carlos,SP,3.898,4
101,7.0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Sorocaba,SP,3.989,5
102,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Viçosa,MG,4.379,5
103,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Florestal,MG,3.777,4
104,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,3.137,4
105,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,2.347,3
106,10.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Curitiba,PR,2.531,3
107,11.0,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Recife,PE,2.031,3
108,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Caxias do Sul,RS,3.015,4
109,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Bento Gonçalves,RS,2.126,3
110,14.0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,São Leopoldo,RS,2.922,3
111,14.0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Porto Alegre,RS,3.815,4
112,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,3.162,4
113,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,3.497,4
114,21.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Porto Alegre,RS,3.453,4
115,22.0,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,São Paulo,SP,2.375,3
116,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,2.568,3
117,24.0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Ilhéus,BA,3.343,4
119,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,2.788,3
120,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,2.218,3
121,30.0,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Alfenas,MG,2.3,3
122,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,1.756,2
123,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Joinville,SC,3.287,4
124,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Anápolis,GO,1.472,2
125,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.047,5
126,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,São José do Rio Preto,SP,3.521,4
127,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Bauru,SP,3.989,5
128,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Rio Claro,SP,2.943,3
129,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Presidente Prudente,SP,3.403,4
130,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,3.798,4
131,67.0,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Piracicaba,SP,1.512,2
132,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Mossoró,RN,2.422,3
133,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Natal,RN,1.853,2
134,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,2.691,3
135,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Videira,SC,2.131,3
136,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,São Miguel do Oeste,SC,2.725,3
137,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Itajaí,SC,2.6,3
138,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,São José,SC,3.253,4
139,95.0,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Sobral,CE,1.972,3
140,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,2.721,3
141,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,3.035,4
142,137.0,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Bauru,SP,1.629,2
143,138.0,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Ribeirão Preto,SP,3.164,4
144,142.0,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Uberlândia,MG,1.964,3
145,146.0,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,São José do Rio Preto,SP,1.576,2
146,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Sorocaba,SP,1.443,2
147,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.05,3
148,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Rio de Janeiro,RJ,2.329,3
149,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,1.372,2
150,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,1.641,2
151,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,2.804,3
152,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,0.996,2
153,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,1.15,2
154,227.0,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,Santos,SP,2.091,3
156,271.0,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Presidente Prudente,SP,3.818,4
157,277.0,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,Rio de Janeiro,RJ,1.014,2
158,277.0,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,Rio de Janeiro,RJ,1.358,2
159,278.0,FACULDADES INTEGRADAS SIMONSEN,FIS,Rio de Janeiro,RJ,0.241,1
160,295.0,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Santa Cruz do Sul,RS,2.752,3
161,295.0,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Santa Cruz do Sul,RS,4.864,5
162,308.0,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Barbacena,MG,1.545,2
163,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.065,2
164,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.017,2
165,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,0.924,1
166,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.019,2
167,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.068,2
168,322.0,UNIVERSIDADE PAULISTA,UNIP,Ribeirão Preto,SP,1.43,2
169,322.0,UNIVERSIDADE PAULISTA,UNIP,Campinas,SP,1.751,2
170,322.0,UNIVERSIDADE PAULISTA,UNIP,Araraquara,SP,1.594,2
171,322.0,UNIVERSIDADE PAULISTA,UNIP,Santos,SP,1.048,2
172,322.0,UNIVERSIDADE PAULISTA,UNIP,São José dos Campos,SP,1.556,2
173,322.0,UNIVERSIDADE PAULISTA,UNIP,Bauru,SP,1.848,2
174,322.0,UNIVERSIDADE PAULISTA,UNIP,Sorocaba,SP,1.206,2
175,322.0,UNIVERSIDADE PAULISTA,UNIP,São José do Rio Preto,SP,1.521,2
176,322.0,UNIVERSIDADE PAULISTA,UNIP,Araçatuba,SP,1.875,2
177,322.0,UNIVERSIDADE PAULISTA,UNIP,Santana de Parnaíba,SP,1.077,2
178,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.16,2
179,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.316,2
180,322.0,UNIVERSIDADE PAULISTA,UNIP,Brasília,DF,1.048,2
181,322.0,UNIVERSIDADE PAULISTA,UNIP,Goiânia,GO,1.626,2
182,322.0,UNIVERSIDADE PAULISTA,UNIP,Manaus,AM,1.064,2
183,322.0,UNIVERSIDADE PAULISTA,UNIP,Jundiaí,SP,2.144,3
184,322.0,UNIVERSIDADE PAULISTA,UNIP,Limeira,SP,1.68,2
185,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.416,2
186,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.162,2
187,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.229,2
188,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.399,2
189,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.243,2
190,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.234,2
191,338.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Belo Horizonte,MG,2.909,3
192,338.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Poços de Caldas,MG,1.964,3
193,349.0,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,Belo Horizonte,MG,2.284,3
194,349.0,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,Belo Horizonte,MG,1.578,2
195,352.0,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,UNIPÊ,João Pessoa,PB,1.917,2
196,355.0,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,Curitiba,PR,3.721,4
197,374.0,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,São Paulo,SP,1.317,2
201,385.0,UNIVERSIDADE SALVADOR,UNIFACS,Salvador,BA,2.08,3
202,396.0,Centro Universitário Ruy Barbosa Wyden,UniRuy Wyden,Salvador,BA,1.311,2
203,398.0,UNIVERSIDADE TIRADENTES,UNIT,Aracaju,SE,2.598,3
204,402.0,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,Brasília,DF,1.918,2
205,402.0,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,Brasília,DF,2.073,3
206,403.0,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Brasília,DF,2.284,3
207,409.0,UNIVERSIDADE DE PERNAMBUCO,UPE,Garanhuns,PE,1.883,2
208,417.0,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,São Paulo,SP,1.2,2
209,423.0,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Santiago,RS,1.255,2
210,423.0,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Frederico Westphalen,RS,2.536,3
211,423.0,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Santo Ângelo,RS,1.899,2
212,423.0,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Erechim,RS,2.051,3
213,426.0,UNIVERSIDADE FRANCISCANA,UFN,Santa Maria,RS,2.507,3
214,430.0,CENTRO UNIVERSITÁRIO FILADÉLFIA,UNIFIL,Londrina,PR,2.362,3
215,446.0,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,Cruz Alta,RS,1.04,2
216,448.0,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Porto Alegre,RS,1.918,2
217,448.0,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Porto Alegre,RS,1.993,3
218,448.0,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Porto Alegre,RS,3.014,4
219,449.0,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Canoas,RS,1.906,2
220,449.0,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Gravataí,RS,2.124,3
221,453.0,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,CEULP,Palmas,TO,2.155,3
222,457.0,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,UNIAN - SP,Santo André,SP,1.389,2
223,458.0,UNIVERSIDADE IBIRAPUERA,UNIB,São Paulo,SP,1.402,2
224,466.0,UNIVERSIDADE ANHEMBI MORUMBI,UAM,São Paulo,SP,2.159,3
225,466.0,UNIVERSIDADE ANHEMBI MORUMBI,UAM,São Paulo,SP,2.273,3
226,466.0,UNIVERSIDADE ANHEMBI MORUMBI,UAM,São Paulo,SP,2.22,3
227,480.0,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,UNIFESO,Teresópolis,RJ,1.588,2
228,481.0,Universidade Universus Veritas Guarulhos,Univeritas UNG,Guarulhos,SP,0.691,1
229,481.0,Universidade Universus Veritas Guarulhos,Univeritas UNG,Itaquaquecetuba,SP,0.732,1
230,482.0,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Criciúma,SC,1.551,2
231,494.0,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Tubarão,SC,2.025,3
232,496.0,UNIVERSIDADE DE FRANCA,UNIFRAN,Franca,SP,1.07,2
233,515.0,Centro Universitário Anhanguera Pitágoras Unopar de Niterói,UNIAN-RJ,Niterói,RJ,1.565,2
234,527.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Goiânia,GO,2.337,3
235,528.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Rio de Janeiro,RJ,3.164,4
236,532.0,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Ijuí,RS,2.993,4
237,532.0,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Santa Rosa,RS,1.917,2
238,546.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,São Paulo,SP,2.058,3
239,547.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Rio de Janeiro,RJ,2.71,3
240,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,3.294,4
241,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,1.95,3
244,550.0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Campina Grande,PB,2.024,3
245,550.0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Patos,PB,1.646,2
246,555.0,UNIVERSIDADE DE FORTALEZA,UNIFOR,Fortaleza,CE,2.531,3
248,570.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Natal,RN,4.535,5
249,571.0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Curitiba,PR,4.175,5
250,571.0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Jandaia do Sul,PR,3.645,4
251,571.0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Palotina,PR,4.153,5
252,572.0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Niterói,RJ,3.971,5
253,572.0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Rio das Ostras,RJ,2.724,3
254,572.0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Santo Antônio de Pádua,RJ,2.402,3
255,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Vitória,ES,4.119,5
256,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Alegre,ES,2.732,3
257,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,São Mateus,ES,3.015,4
258,574.0,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Nova Iguaçu,RJ,3.13,4
259,575.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Belo Horizonte,MG,5.0,5
260,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,3.174,4
261,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,4.349,5
262,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,2.733,3
263,577.0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Maceió,AL,4.143,5
264,577.0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Arapiraca,AL,2.238,3
265,578.0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Salvador,BA,3.782,4
266,578.0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Salvador,BA,2.963,4
267,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,João Pessoa,PB,3.11,4
268,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Rio Tinto,PB,1.976,3
269,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,João Pessoa,PB,1.783,2
